index_column,taxumap1,taxumap2
66600164,-27.911657,40.771755
66600169,-28.138845,40.95438
66600209,-32.93319,39.196255
66600224,-31.73983,39.335587
66600226,-27.71809,40.893703
66600232,-30.743874,40.844547
66600234,-28.728125,40.162464
66600236,-29.345556,39.216206
66627209,-32.36583,38.560696
66627211,-32.91607,39.54526
66627212,-33.099476,39.06929
66627213,-30.80829,40.469585
66627214,-28.223335,40.86686
66627220,-32.232933,39.382484
66627223,-30.586248,38.573242
66627225,-30.57693,39.087467
66627226,-32.116913,40.01681
66627228,-32.356594,40.197575
66627229,-30.886488,38.717438
66627231,-29.882738,38.940235
66627232,-29.973192,38.541855
66627233,-29.120258,38.9131
66627234,-31.971222,39.173985
66627235,-28.193733,41.355953
66627236,-32.40831,38.882904
66627238,-32.8566,38.915756
66627239,-30.70602,41.09361
66627240,-32.513737,39.677055
66627242,-30.107363,39.408077
66627245,-32.695663,39.34604
66627245,-28.67179,40.29949
66627246,-28.990606,39.178467
66627247,-29.175201,39.02723
66627248,-30.534037,39.92732
66627249,-30.829659,40.32941
66627250,-29.592442,39.36491
66627251,-31.279036,39.062454
66627252,-27.841057,41.14012
66627254,-28.966747,40.226757
66627255,-30.951994,38.261982
66627256,-29.940674,38.653408
66627257,-32.191654,39.614086
66627258,-30.795588,39.310818
66627259,-30.345245,39.20557
66627259,-30.02334,39.796406
66627260,-28.262989,41.26295
66627261,-31.399988,38.420933
66627262,-32.43922,39.528343
66627266,-33.047016,39.437412
66627267,-31.672983,39.80798
66627268,-28.058905,41.078133
66627269,-31.003096,38.894127
66627270,-32.058598,40.861683
66627271,-28.979713,39.622746
66627272,-29.432095,38.813908
66627276,-30.743355,40.12766
66627277,-32.781353,39.26487
66627278,-31.778692,39.06409
66627279,-31.567785,39.725986
66627280,-31.900017,38.573208
66627281,-32.3065,38.790142
66627283,-31.715448,38.38737
66627284,-31.251606,39.532578
66627284,-31.43357,39.594276
66627286,-32.04225,40.611404
66627289,-32.742554,38.999218
66627290,-31.147467,38.4084
66627292,-28.375868,41.001842
66627293,-31.672012,38.97231
66627297,-30.875574,40.74214
66627298,-32.0408,39.27736
66627299,-29.88517,40.0189
66627301,-29.568336,39.91337
66627303,-30.641754,40.26976
66627304,-30.957788,40.843204
66627306,-30.61121,41.05222
66704896,-28.002499,41.366703
66704897,-31.742369,40.793808
66704898,-32.30261,40.127907
66704899,-32.663612,39.139393
66704900,-32.110058,38.909397
66704901,-31.296457,38.72734
66704904,-31.393877,39.96208
66704905,-30.259008,40.61265
66704907,-27.919195,41.119106
66704909,-31.94663,40.782875
66704910,-29.19598,39.605186
66704914,-32.179478,40.710014
66704915,-30.32925,38.493668
66704916,-30.268164,38.374985
66704918,-30.353941,38.900883
66704920,-30.865595,39.945118
66704924,-31.00615,39.77786
66704935,-27.709698,41.317154
66704940,-28.014666,41.179523
66704977,-29.893114,40.68804
66704978,-30.013813,40.547764
66704990,-31.00016,39.18334
66704994,-28.83568,40.056553
66704995,-28.421059,40.51398
